date_id,year,quarter,month,is_annual,period_label,period_start,period_end
1,2007,,,True,2007 Annual,2007-01-01,2007-12-31
2,2008,,,True,2008 Annual,2008-01-01,2008-12-31
3,2009,,,True,2009 Annual,2009-01-01,2009-12-31
4,2010,,,True,2010 Annual,2010-01-01,2010-12-31
5,2011,,,True,2011 Annual,2011-01-01,2011-12-31
6,2012,,,True,2012 Annual,2012-01-01,2012-12-31
7,2013,,,True,2013 Annual,2013-01-01,2013-12-31
8,2014,,,True,2014 Annual,2014-01-01,2014-12-31
9,2015,,,True,2015 Annual,2015-01-01,2015-12-31
10,2016,,,True,2016 Annual,2016-01-01,2016-12-31
11,2017,,,True,2017 Annual,2017-01-01,2017-12-31
12,2018,,,True,2018 Annual,2018-01-01,2018-12-31
13,2019,,,True,2019 Annual,2019-01-01,2019-12-31
14,2020,,,True,2020 Annual,2020-01-01,2020-12-31
15,2021,,,True,2021 Annual,2021-01-01,2021-12-31
