entry_exit_id,station_id,date_id,total_entry_exit,estimated_entries,estimated_exits,record_type,data_source
1,1,1,5773625,2886812,2886812,Annual,TfL Official
2,1,2,5816798,2908399,2908399,Annual,TfL Official
3,1,3,5459521,2729760,2729760,Annual,TfL Official
4,1,4,5428316,2714158,2714158,Annual,TfL Official
5,1,5,5462387,2731193,2731193,Annual,TfL Official
6,1,6,5584934,2792467,2792467,Annual,TfL Official
7,1,7,5748994,2874497,2874497,Annual,TfL Official
8,1,8,6059017,3029508,3029508,Annual,TfL Official
9,1,9,6235045,3117522,3117522,Annual,TfL Official
10,1,10,6274649,3137324,3137324,Annual,TfL Official
11,1,11,5731527,2865763,2865763,Annual,TfL Official
12,1,12,5794685,2897342,2897342,Annual,TfL Official
13,1,13,6186555,3093277,3093277,Annual,TfL Official
14,1,14,3568528,1784264,1784264,Annual,TfL Official
15,1,15,2902697,1451348,1451348,Annual,TfL Official
16,2,1,9558748,4779374,4779374,Annual,TfL Official
17,2,2,10030975,5015487,5015487,Annual,TfL Official
18,2,3,9261249,4630624,4630624,Annual,TfL Official
19,2,4,8873092,4436546,4436546,Annual,TfL Official
20,2,5,9228704,4614352,4614352,Annual,TfL Official
21,2,6,9850562,4925281,4925281,Annual,TfL Official
22,2,7,10464425,5232212,5232212,Annual,TfL Official
23,2,8,11444738,5722369,5722369,Annual,TfL Official
24,2,9,11283478,5641739,5641739,Annual,TfL Official
25,2,10,11973122,5986561,5986561,Annual,TfL Official
26,2,11,11303155,5651577,5651577,Annual,TfL Official
27,2,12,11160091,5580045,5580045,Annual,TfL Official
28,2,13,10467974,5233987,5233987,Annual,TfL Official
29,2,14,2537108,1268554,1268554,Annual,TfL Official
30,2,15,3467856,1733928,1733928,Annual,TfL Official
31,3,1,5572412,2786206,2786206,Annual,TfL Official
32,3,2,6243135,3121567,3121567,Annual,TfL Official
33,3,3,5974176,2987088,2987088,Annual,TfL Official
34,3,4,6026534,3013267,3013267,Annual,TfL Official
35,3,5,6235513,3117756,3117756,Annual,TfL Official
36,3,6,6647283,3323641,3323641,Annual,TfL Official
37,3,7,6877712,3438856,3438856,Annual,TfL Official
38,3,8,7221566,3610783,3610783,Annual,TfL Official
39,3,9,7527810,3763905,3763905,Annual,TfL Official
40,3,10,8009494,4004747,4004747,Annual,TfL Official
41,3,11,8459234,4229617,4229617,Annual,TfL Official
42,3,12,9218140,4609070,4609070,Annual,TfL Official
43,3,13,9956600,4978300,4978300,Annual,TfL Official
44,3,14,2775844,1387922,1387922,Annual,TfL Official
45,3,15,3525128,1762564,1762564,Annual,TfL Official
46,4,1,7657338,3828669,3828669,Annual,TfL Official
47,4,2,8152761,4076380,4076380,Annual,TfL Official
48,4,3,9047885,4523942,4523942,Annual,TfL Official
49,4,4,8974956,4487478,4487478,Annual,TfL Official
50,4,5,9157483,4578741,4578741,Annual,TfL Official
51,4,6,10134021,5067010,5067010,Annual,TfL Official
52,4,7,11663144,5831572,5831572,Annual,TfL Official
53,4,8,12248009,6124004,6124004,Annual,TfL Official
54,4,9,12839311,6419655,6419655,Annual,TfL Official
55,4,10,13434630,6717315,6717315,Annual,TfL Official
56,4,11,13262408,6631204,6631204,Annual,TfL Official
57,4,12,13707738,6853869,6853869,Annual,TfL Official
58,4,13,14148654,7074327,7074327,Annual,TfL Official
59,4,14,3144899,1572449,1572449,Annual,TfL Official
60,4,15,5611130,2805565,2805565,Annual,TfL Official
61,5,1,3005522,1502761,1502761,Annual,TfL Official
62,5,2,3072270,1536135,1536135,Annual,TfL Official
63,5,3,3044399,1522199,1522199,Annual,TfL Official
64,5,4,2942987,1471493,1471493,Annual,TfL Official
65,5,5,2945259,1472629,1472629,Annual,TfL Official
66,5,6,2893236,1446618,1446618,Annual,TfL Official
67,5,7,2956888,1478444,1478444,Annual,TfL Official
68,5,8,3171235,1585617,1585617,Annual,TfL Official
69,5,9,3205455,1602727,1602727,Annual,TfL Official
70,5,10,3174845,1587422,1587422,Annual,TfL Official
71,5,11,2896391,1448195,1448195,Annual,TfL Official
72,5,12,2796159,1398079,1398079,Annual,TfL Official
73,5,13,2858439,1429219,1429219,Annual,TfL Official
74,5,14,2064990,1032495,1032495,Annual,TfL Official
75,5,15,1345253,672626,672626,Annual,TfL Official
76,6,1,2341347,1170673,1170673,Annual,TfL Official
77,6,2,2171944,1085972,1085972,Annual,TfL Official
78,6,3,2088199,1044099,1044099,Annual,TfL Official
79,6,4,2109415,1054707,1054707,Annual,TfL Official
80,6,5,2099560,1049780,1049780,Annual,TfL Official
81,6,6,2097954,1048977,1048977,Annual,TfL Official
82,6,7,2041139,1020569,1020569,Annual,TfL Official
83,6,8,2439993,1219996,1219996,Annual,TfL Official
84,6,9,2287149,1143574,1143574,Annual,TfL Official
85,6,10,2360700,1180350,1180350,Annual,TfL Official
86,6,11,2215502,1107751,1107751,Annual,TfL Official
87,6,12,2130207,1065103,1065103,Annual,TfL Official
88,6,13,2350099,1175049,1175049,Annual,TfL Official
89,6,14,863361,431680,431680,Annual,TfL Official
90,6,15,946577,473288,473288,Annual,TfL Official
91,7,1,16625983,8312991,8312991,Annual,TfL Official
92,7,2,17824269,8912134,8912134,Annual,TfL Official
93,7,3,18051985,9025992,9025992,Annual,TfL Official
94,7,4,17821157,8910578,8910578,Annual,TfL Official
95,7,5,17775047,8887523,8887523,Annual,TfL Official
96,7,6,18578717,9289358,9289358,Annual,TfL Official
97,7,7,18930868,9465434,9465434,Annual,TfL Official
98,7,8,19217171,9608585,9608585,Annual,TfL Official
99,7,9,19756365,9878182,9878182,Annual,TfL Official
100,7,10,20100806,10050403,10050403,Annual,TfL Official
101,7,11,18236123,9118061,9118061,Annual,TfL Official
102,7,12,17661269,8830634,8830634,Annual,TfL Official
103,7,13,17705761,8852880,8852880,Annual,TfL Official
104,7,14,5255371,2627685,2627685,Annual,TfL Official
105,7,15,7258744,3629372,3629372,Annual,TfL Official
106,8,1,7738419,3869209,3869209,Annual,TfL Official
107,8,2,8236817,4118408,4118408,Annual,TfL Official
108,8,3,8048465,4024232,4024232,Annual,TfL Official
109,8,4,8053512,4026756,4026756,Annual,TfL Official
110,8,5,8081810,4040905,4040905,Annual,TfL Official
111,8,6,8059174,4029587,4029587,Annual,TfL Official
112,8,7,8169485,4084742,4084742,Annual,TfL Official
113,8,8,8943726,4471863,4471863,Annual,TfL Official
114,8,9,9794439,4897219,4897219,Annual,TfL Official
115,8,10,9940993,4970496,4970496,Annual,TfL Official
116,8,11,8806365,4403182,4403182,Annual,TfL Official
117,8,12,8608964,4304482,4304482,Annual,TfL Official
118,8,13,8772643,4386321,4386321,Annual,TfL Official
119,8,14,4429802,2214901,2214901,Annual,TfL Official
120,8,15,4027456,2013728,2013728,Annual,TfL Official
121,9,1,4314491,2157245,2157245,Annual,TfL Official
122,9,2,4250148,2125074,2125074,Annual,TfL Official
123,9,3,4311751,2155875,2155875,Annual,TfL Official
124,9,4,4096044,2048022,2048022,Annual,TfL Official
125,9,5,4159371,2079685,2079685,Annual,TfL Official
126,9,6,4155802,2077901,2077901,Annual,TfL Official
127,9,7,4479004,2239502,2239502,Annual,TfL Official
128,9,8,4713904,2356952,2356952,Annual,TfL Official
129,9,9,4550587,2275293,2275293,Annual,TfL Official
130,9,10,4645869,2322934,2322934,Annual,TfL Official
131,9,11,4372042,2186021,2186021,Annual,TfL Official
132,9,12,4263555,2131777,2131777,Annual,TfL Official
133,9,13,4436265,2218132,2218132,Annual,TfL Official
134,9,14,2340827,1170413,1170413,Annual,TfL Official
135,9,15,1963343,981671,981671,Annual,TfL Official
136,10,1,2734787,1367393,1367393,Annual,TfL Official
137,10,2,3212954,1606477,1606477,Annual,TfL Official
138,10,3,3051762,1525881,1525881,Annual,TfL Official
139,10,4,2977319,1488659,1488659,Annual,TfL Official
140,10,5,3067815,1533907,1533907,Annual,TfL Official
141,10,6,3017544,1508772,1508772,Annual,TfL Official
142,10,7,3091593,1545796,1545796,Annual,TfL Official
143,10,8,2900614,1450307,1450307,Annual,TfL Official
144,10,9,2802635,1401317,1401317,Annual,TfL Official
145,10,10,3012524,1506262,1506262,Annual,TfL Official
146,10,11,2671088,1335544,1335544,Annual,TfL Official
147,10,12,2651488,1325744,1325744,Annual,TfL Official
148,10,13,2768340,1384170,1384170,Annual,TfL Official
149,10,14,999026,499513,499513,Annual,TfL Official
150,10,15,1209093,604546,604546,Annual,TfL Official
151,11,1,24009889,12004944,12004944,Annual,TfL Official
152,11,2,24605375,12302687,12302687,Annual,TfL Official
153,11,3,25636684,12818342,12818342,Annual,TfL Official
154,11,4,26275325,13137662,13137662,Annual,TfL Official
155,11,5,27017574,13508787,13508787,Annual,TfL Official
156,11,6,27744272,13872136,13872136,Annual,TfL Official
157,11,7,28097997,14048998,14048998,Annual,TfL Official
158,11,8,32175421,16087710,16087710,Annual,TfL Official
159,11,9,29379132,14689566,14689566,Annual,TfL Official
160,11,10,29754860,14877430,14877430,Annual,TfL Official
161,11,11,27340420,13670210,13670210,Annual,TfL Official
162,11,12,27349471,13674735,13674735,Annual,TfL Official
163,11,13,28073310,14036655,14036655,Annual,TfL Official
164,11,14,8475976,4237988,4237988,Annual,TfL Official
165,11,15,11147642,5573821,5573821,Annual,TfL Official
166,12,1,11336548,5668274,5668274,Annual,TfL Official
167,12,2,11560006,5780003,5780003,Annual,TfL Official
168,12,3,11549624,5774812,5774812,Annual,TfL Official
169,12,4,10897161,5448580,5448580,Annual,TfL Official
170,12,5,11459978,5729989,5729989,Annual,TfL Official
171,12,6,11904117,5952058,5952058,Annual,TfL Official
172,12,7,12051320,6025660,6025660,Annual,TfL Official
173,12,8,13471439,6735719,6735719,Annual,TfL Official
174,12,9,14178948,7089474,7089474,Annual,TfL Official
175,12,10,14637993,7318996,7318996,Annual,TfL Official
176,12,11,13584305,6792152,6792152,Annual,TfL Official
177,12,12,12706683,6353341,6353341,Annual,TfL Official
178,12,13,13064682,6532341,6532341,Annual,TfL Official
179,12,14,5241275,2620637,2620637,Annual,TfL Official
180,12,15,5356512,2678256,2678256,Annual,TfL Official
181,13,1,41882819,20941409,20941409,Annual,TfL Official
182,13,2,42823864,21411932,21411932,Annual,TfL Official
183,13,3,40655415,20327707,20327707,Annual,TfL Official
184,13,4,43495766,21747883,21747883,Annual,TfL Official
185,13,5,47804941,23902470,23902470,Annual,TfL Official
186,13,6,47749950,23874975,23874975,Annual,TfL Official
187,13,7,48884756,24442378,24442378,Annual,TfL Official
188,13,8,52306067,26153033,26153033,Annual,TfL Official
189,13,9,57512971,28756485,28756485,Annual,TfL Official
190,13,10,64262200,32131100,32131100,Annual,TfL Official
191,13,11,90922111,45461055,45461055,Annual,TfL Official
192,13,12,86393639,43196819,43196819,Annual,TfL Official
193,13,13,92291003,46145501,46145501,Annual,TfL Official
194,13,14,15625280,7812640,7812640,Annual,TfL Official
195,13,15,30132853,15066426,15066426,Annual,TfL Official
196,14,1,12787835,6393917,6393917,Annual,TfL Official
197,14,2,11676598,5838299,5838299,Annual,TfL Official
198,14,3,13045782,6522891,6522891,Annual,TfL Official
199,14,4,13719922,6859961,6859961,Annual,TfL Official
200,14,5,13955938,6977969,6977969,Annual,TfL Official
201,14,6,14514735,7257367,7257367,Annual,TfL Official
202,14,7,15224058,7612029,7612029,Annual,TfL Official
203,14,8,15592496,7796248,7796248,Annual,TfL Official
204,14,9,16055212,8027606,8027606,Annual,TfL Official
205,14,10,15860320,7930160,7930160,Annual,TfL Official
206,14,11,19511102,9755551,9755551,Annual,TfL Official
207,14,12,20580625,10290312,10290312,Annual,TfL Official
208,14,13,21622036,10811018,10811018,Annual,TfL Official
209,14,14,17562493,8781246,8781246,Annual,TfL Official
210,14,15,11353650,5676825,5676825,Annual,TfL Official
211,15,1,859251,429625,429625,Annual,TfL Official
212,15,2,952740,476370,476370,Annual,TfL Official
213,15,3,975225,487612,487612,Annual,TfL Official
214,15,4,1080144,540072,540072,Annual,TfL Official
215,15,5,1156751,578375,578375,Annual,TfL Official
216,15,6,1118756,559378,559378,Annual,TfL Official
217,15,7,1241272,620636,620636,Annual,TfL Official
218,15,8,1351966,675983,675983,Annual,TfL Official
219,15,9,1406286,703143,703143,Annual,TfL Official
220,15,10,1633262,816631,816631,Annual,TfL Official
221,15,11,1543740,771870,771870,Annual,TfL Official
222,15,12,1557996,778998,778998,Annual,TfL Official
223,15,13,1575379,787689,787689,Annual,TfL Official
224,15,14,915270,457635,457635,Annual,TfL Official
225,15,15,647203,323601,323601,Annual,TfL Official
226,16,1,6698321,3349160,3349160,Annual,TfL Official
227,16,2,6778341,3389170,3389170,Annual,TfL Official
228,16,3,6349273,3174636,3174636,Annual,TfL Official
229,16,4,6456132,3228066,3228066,Annual,TfL Official
230,16,5,6535580,3267790,3267790,Annual,TfL Official
231,16,6,6809659,3404829,3404829,Annual,TfL Official
232,16,7,7155458,3577729,3577729,Annual,TfL Official
233,16,8,7500664,3750332,3750332,Annual,TfL Official
234,16,9,7295186,3647593,3647593,Annual,TfL Official
235,16,10,7207423,3603711,3603711,Annual,TfL Official
236,16,11,6769847,3384923,3384923,Annual,TfL Official
237,16,12,6689966,3344983,3344983,Annual,TfL Official
238,16,13,6821846,3410923,3410923,Annual,TfL Official
239,16,14,3127255,1563627,1563627,Annual,TfL Official
240,16,15,2900237,1450118,1450118,Annual,TfL Official
241,17,1,6042651,3021325,3021325,Annual,TfL Official
242,17,2,5982534,2991267,2991267,Annual,TfL Official
243,17,3,6439576,3219788,3219788,Annual,TfL Official
244,17,4,5519178,2759589,2759589,Annual,TfL Official
245,17,5,5100938,2550469,2550469,Annual,TfL Official
246,17,6,5541858,2770929,2770929,Annual,TfL Official
247,17,7,5493688,2746844,2746844,Annual,TfL Official
248,17,8,5691226,2845613,2845613,Annual,TfL Official
249,17,9,5219590,2609795,2609795,Annual,TfL Official
250,17,10,4756028,2378014,2378014,Annual,TfL Official
251,17,11,4437691,2218845,2218845,Annual,TfL Official
252,17,12,4335552,2167776,2167776,Annual,TfL Official
253,17,13,4253914,2126957,2126957,Annual,TfL Official
254,17,14,1086943,543471,543471,Annual,TfL Official
255,17,15,1498957,749478,749478,Annual,TfL Official
256,18,1,2314840,1157420,1157420,Annual,TfL Official
257,18,2,2547549,1273774,1273774,Annual,TfL Official
258,18,3,2420863,1210431,1210431,Annual,TfL Official
259,18,4,2493471,1246735,1246735,Annual,TfL Official
260,18,5,2759530,1379765,1379765,Annual,TfL Official
261,18,6,2837652,1418826,1418826,Annual,TfL Official
262,18,7,3039868,1519934,1519934,Annual,TfL Official
263,18,8,3395647,1697823,1697823,Annual,TfL Official
264,18,9,3490288,1745144,1745144,Annual,TfL Official
265,18,10,3545530,1772765,1772765,Annual,TfL Official
266,18,11,3458723,1729361,1729361,Annual,TfL Official
267,18,12,3477091,1738545,1738545,Annual,TfL Official
268,18,13,3461331,1730665,1730665,Annual,TfL Official
269,18,14,2756262,1378131,1378131,Annual,TfL Official
270,18,15,1759768,879884,879884,Annual,TfL Official
271,19,1,5632841,2816420,2816420,Annual,TfL Official
272,19,2,6144764,3072382,3072382,Annual,TfL Official
273,19,3,6080640,3040320,3040320,Annual,TfL Official
274,19,4,6168717,3084358,3084358,Annual,TfL Official
275,19,5,5747717,2873858,2873858,Annual,TfL Official
276,19,6,5806568,2903284,2903284,Annual,TfL Official
277,19,7,5842725,2921362,2921362,Annual,TfL Official
278,19,8,5927817,2963908,2963908,Annual,TfL Official
279,19,9,6155599,3077799,3077799,Annual,TfL Official
280,19,10,6482865,3241432,3241432,Annual,TfL Official
281,19,11,5926276,2963138,2963138,Annual,TfL Official
282,19,12,5811597,2905798,2905798,Annual,TfL Official
283,19,13,5679733,2839866,2839866,Annual,TfL Official
284,19,14,2769409,1384704,1384704,Annual,TfL Official
285,19,15,2609939,1304969,1304969,Annual,TfL Official
286,20,1,14095386,7047693,7047693,Annual,TfL Official
287,20,2,14272056,7136028,7136028,Annual,TfL Official
288,20,3,15110104,7555052,7555052,Annual,TfL Official
289,20,4,15059643,7529821,7529821,Annual,TfL Official
290,20,5,15086509,7543254,7543254,Annual,TfL Official
291,20,6,15055906,7527953,7527953,Annual,TfL Official
292,20,7,15272389,7636194,7636194,Annual,TfL Official
293,20,8,16076636,8038318,8038318,Annual,TfL Official
294,20,9,16164736,8082368,8082368,Annual,TfL Official
295,20,10,16272340,8136170,8136170,Annual,TfL Official
296,20,11,14720488,7360244,7360244,Annual,TfL Official
297,20,12,14171711,7085855,7085855,Annual,TfL Official
298,20,13,14920047,7460023,7460023,Annual,TfL Official
299,20,14,6849607,3424803,3424803,Annual,TfL Official
300,20,15,6322604,3161302,3161302,Annual,TfL Official
301,21,1,12621265,6310632,6310632,Annual,TfL Official
302,21,2,13137897,6568948,6568948,Annual,TfL Official
303,21,6,9282172,4641086,4641086,Annual,TfL Official
304,21,7,12087967,6043983,6043983,Annual,TfL Official
305,21,8,13142562,6571281,6571281,Annual,TfL Official
306,21,9,13702647,6851323,6851323,Annual,TfL Official
307,21,10,15449362,7724681,7724681,Annual,TfL Official
308,21,11,14159864,7079932,7079932,Annual,TfL Official
309,21,12,14288212,7144106,7144106,Annual,TfL Official
310,21,13,15533461,7766730,7766730,Annual,TfL Official
311,21,14,2894042,1447021,1447021,Annual,TfL Official
312,21,15,4795990,2397995,2397995,Annual,TfL Official
313,22,1,6178833,3089416,3089416,Annual,TfL Official
314,22,2,6093247,3046623,3046623,Annual,TfL Official
315,22,3,5679321,2839660,2839660,Annual,TfL Official
316,22,4,6101764,3050882,3050882,Annual,TfL Official
317,22,5,6468586,3234293,3234293,Annual,TfL Official
318,22,6,7304059,3652029,3652029,Annual,TfL Official
319,22,7,7898300,3949150,3949150,Annual,TfL Official
320,22,8,8633193,4316596,4316596,Annual,TfL Official
321,22,9,8360092,4180046,4180046,Annual,TfL Official
322,22,10,8452553,4226276,4226276,Annual,TfL Official
323,22,11,10946261,5473130,5473130,Annual,TfL Official
324,22,12,11515668,5757834,5757834,Annual,TfL Official
325,22,13,12365373,6182686,6182686,Annual,TfL Official
326,22,14,7413637,3706818,3706818,Annual,TfL Official
327,22,15,6536601,3268300,3268300,Annual,TfL Official
328,23,1,36695785,18347892,18347892,Annual,TfL Official
329,23,2,36406455,18203227,18203227,Annual,TfL Official
330,23,3,36850571,18425285,18425285,Annual,TfL Official
331,23,4,36868627,18434313,18434313,Annual,TfL Official
332,23,5,36022087,18011043,18011043,Annual,TfL Official
333,23,6,38065150,19032575,19032575,Annual,TfL Official
334,23,7,39648205,19824102,19824102,Annual,TfL Official
335,23,8,19799777,9899888,9899888,Annual,TfL Official
336,23,9,37119274,18559637,18559637,Annual,TfL Official
337,23,10,39528650,19764325,19764325,Annual,TfL Official
338,23,11,36853006,18426503,18426503,Annual,TfL Official
339,23,12,36165875,18082937,18082937,Annual,TfL Official
340,23,13,37487361,18743680,18743680,Annual,TfL Official
341,23,14,9682506,4841253,4841253,Annual,TfL Official
342,23,15,15694939,7847469,7847469,Annual,TfL Official
343,24,1,4138441,2069220,2069220,Annual,TfL Official
344,24,2,4140747,2070373,2070373,Annual,TfL Official
345,24,3,4869438,2434719,2434719,Annual,TfL Official
346,24,4,5088277,2544138,2544138,Annual,TfL Official
347,24,5,4573373,2286686,2286686,Annual,TfL Official
348,24,6,4840588,2420294,2420294,Annual,TfL Official
349,24,7,4887560,2443780,2443780,Annual,TfL Official
350,24,8,5309004,2654502,2654502,Annual,TfL Official
351,24,9,5358351,2679175,2679175,Annual,TfL Official
352,24,10,5873875,2936937,2936937,Annual,TfL Official
353,24,11,5581683,2790841,2790841,Annual,TfL Official
354,24,12,5413775,2706887,2706887,Annual,TfL Official
355,24,13,5547448,2773724,2773724,Annual,TfL Official
356,24,14,1471942,735971,735971,Annual,TfL Official
357,24,15,2066434,1033217,1033217,Annual,TfL Official
358,25,1,1863704,931852,931852,Annual,TfL Official
359,25,2,1983961,991980,991980,Annual,TfL Official
360,25,3,1934689,967344,967344,Annual,TfL Official
361,25,4,1872411,936205,936205,Annual,TfL Official
362,25,5,1887897,943948,943948,Annual,TfL Official
363,25,6,1951651,975825,975825,Annual,TfL Official
364,25,7,2077572,1038786,1038786,Annual,TfL Official
365,25,8,2278211,1139105,1139105,Annual,TfL Official
366,25,9,2242854,1121427,1121427,Annual,TfL Official
367,25,10,2322687,1161343,1161343,Annual,TfL Official
368,25,11,2170793,1085396,1085396,Annual,TfL Official
369,25,12,2066569,1033284,1033284,Annual,TfL Official
370,25,13,2185122,1092561,1092561,Annual,TfL Official
371,25,14,1041242,520621,520621,Annual,TfL Official
372,25,15,879895,439947,439947,Annual,TfL Official
373,26,1,5497937,2748968,2748968,Annual,TfL Official
374,26,2,5777529,2888764,2888764,Annual,TfL Official
375,26,3,5554259,2777129,2777129,Annual,TfL Official
376,26,4,5302175,2651087,2651087,Annual,TfL Official
377,26,5,5592642,2796321,2796321,Annual,TfL Official
378,26,6,5738629,2869314,2869314,Annual,TfL Official
379,26,7,6161808,3080904,3080904,Annual,TfL Official
380,26,8,6564869,3282434,3282434,Annual,TfL Official
381,26,9,6462300,3231150,3231150,Annual,TfL Official
382,26,10,6615420,3307710,3307710,Annual,TfL Official
383,26,11,6057231,3028615,3028615,Annual,TfL Official
384,26,12,5749650,2874825,2874825,Annual,TfL Official
385,26,13,5990306,2995153,2995153,Annual,TfL Official
386,26,14,2953366,1476683,1476683,Annual,TfL Official
387,26,15,2509255,1254627,1254627,Annual,TfL Official
388,27,1,4590692,2295346,2295346,Annual,TfL Official
389,27,2,5315977,2657988,2657988,Annual,TfL Official
390,27,3,5083967,2541983,2541983,Annual,TfL Official
391,27,4,5302929,2651464,2651464,Annual,TfL Official
392,27,5,5081976,2540988,2540988,Annual,TfL Official
393,27,6,5180394,2590197,2590197,Annual,TfL Official
394,27,7,5601781,2800890,2800890,Annual,TfL Official
395,27,8,5765573,2882786,2882786,Annual,TfL Official
396,27,9,6102443,3051221,3051221,Annual,TfL Official
397,27,10,5645547,2822773,2822773,Annual,TfL Official
398,27,11,5362773,2681386,2681386,Annual,TfL Official
399,27,12,5327619,2663809,2663809,Annual,TfL Official
400,27,13,5229778,2614889,2614889,Annual,TfL Official
401,27,14,2660676,1330338,1330338,Annual,TfL Official
402,27,15,2257180,1128590,1128590,Annual,TfL Official
403,28,1,1892404,946202,946202,Annual,TfL Official
404,28,2,2190859,1095429,1095429,Annual,TfL Official
405,28,3,2142167,1071083,1071083,Annual,TfL Official
406,28,4,2137758,1068879,1068879,Annual,TfL Official
407,28,5,2209328,1104664,1104664,Annual,TfL Official
408,28,6,2125797,1062898,1062898,Annual,TfL Official
409,28,7,2135435,1067717,1067717,Annual,TfL Official
410,28,8,2400107,1200053,1200053,Annual,TfL Official
411,28,9,2566618,1283309,1283309,Annual,TfL Official
412,28,10,2493412,1246706,1246706,Annual,TfL Official
413,28,11,2392436,1196218,1196218,Annual,TfL Official
414,28,12,2396791,1198395,1198395,Annual,TfL Official
415,28,13,2406723,1203361,1203361,Annual,TfL Official
416,28,14,1348186,674093,674093,Annual,TfL Official
417,28,15,1071927,535963,535963,Annual,TfL Official
418,29,1,2652435,1326217,1326217,Annual,TfL Official
419,29,2,2745801,1372900,1372900,Annual,TfL Official
420,29,3,2406403,1203201,1203201,Annual,TfL Official
421,29,4,2620645,1310322,1310322,Annual,TfL Official
422,29,5,2750832,1375416,1375416,Annual,TfL Official
423,29,6,2628177,1314088,1314088,Annual,TfL Official
424,29,7,3210211,1605105,1605105,Annual,TfL Official
425,29,8,3414885,1707442,1707442,Annual,TfL Official
426,29,9,3685840,1842920,1842920,Annual,TfL Official
427,29,10,3789045,1894522,1894522,Annual,TfL Official
428,29,11,3569032,1784516,1784516,Annual,TfL Official
429,29,12,4093177,2046588,2046588,Annual,TfL Official
430,29,13,4229591,2114795,2114795,Annual,TfL Official
431,29,14,2575616,1287808,1287808,Annual,TfL Official
432,29,15,2030519,1015259,1015259,Annual,TfL Official
433,30,1,1548767,774383,774383,Annual,TfL Official
434,30,2,1597036,798518,798518,Annual,TfL Official
435,30,3,1721626,860813,860813,Annual,TfL Official
436,30,4,1794127,897063,897063,Annual,TfL Official
437,30,5,1849690,924845,924845,Annual,TfL Official
438,30,6,1910147,955073,955073,Annual,TfL Official
439,30,7,1943928,971964,971964,Annual,TfL Official
440,30,8,2061303,1030651,1030651,Annual,TfL Official
441,30,9,2063838,1031919,1031919,Annual,TfL Official
442,30,10,2188937,1094468,1094468,Annual,TfL Official
443,30,11,2195929,1097964,1097964,Annual,TfL Official
444,30,12,1844536,922268,922268,Annual,TfL Official
445,30,13,1856050,928025,928025,Annual,TfL Official
446,30,14,862044,431022,431022,Annual,TfL Official
447,30,15,1072751,536375,536375,Annual,TfL Official
448,31,1,3173136,1586568,1586568,Annual,TfL Official
449,31,2,3513361,1756680,1756680,Annual,TfL Official
450,31,3,3643813,1821906,1821906,Annual,TfL Official
451,31,4,3680047,1840023,1840023,Annual,TfL Official
452,31,5,3787725,1893862,1893862,Annual,TfL Official
453,31,6,3623525,1811762,1811762,Annual,TfL Official
454,31,7,3614445,1807222,1807222,Annual,TfL Official
455,31,8,4083381,2041690,2041690,Annual,TfL Official
456,31,9,4383772,2191886,2191886,Annual,TfL Official
457,31,10,4519973,2259986,2259986,Annual,TfL Official
